date,remainder
1949-01-01,4.405303030303401
1949-02-01,17.496212121212245
1949-03-01,7.496212121212267
1949-04-01,9.587121212121332
1949-05-01,-5.231060606060524
1949-06-01,-12.776515151515
1949-07-01,-19.41287878787864
1949-08-01,-20.32196969696963
1949-09-01,-7.321969696969575
1949-10-01,-4.685606060605977
1949-11-01,-2.7765151515150137
1949-12-01,-5.594696969696827
1950-01-01,-17.47575757575723
1950-02-01,2.6151515151516094
1950-03-01,-6.384848484848362
1950-04-01,-8.293939393939297
1950-05-01,-26.112121212121153
1950-06-01,-20.657575757575643
1950-07-01,-18.293939393939297
1950-08-01,-19.203030303030232
1950-09-01,-3.2030303030302036
1950-10-01,-10.566666666666606
1950-11-01,-12.657575757575643
1950-12-01,1.5242424242425443
1951-01-01,1.6431818181821285
1951-02-01,11.73409090909098
1951-03-01,14.734090909091009
1951-04-01,2.825000000000074
1951-05-01,13.006818181818204
1951-06-01,-10.538636363636272
1951-07-01,-12.174999999999926
1951-08-01,-13.08409090909089
1951-09-01,0.9159090909091674
1951-10-01,3.5522727272727366
1951-11-01,10.461363636363714
1951-12-01,9.643181818181915
1952-01-01,8.762121212121485
1952-02-01,21.853030303030323
1952-03-01,4.85303030303038
1952-04-01,-2.056060606060555
1952-05-01,-1.874242424242425
1952-06-01,5.580303030303099
1952-07-01,-8.056060606060555
1952-08-01,3.0348484848484816
1952-09-01,1.0348484848485384
1952-10-01,10.671212121212136
1952-11-01,17.58030303030307
1952-12-01,15.762121212121258
1953-01-01,10.881060606060856
1953-02-01,12.971969696969722
1953-03-01,20.971969696969722
1953-04-01,27.062878787878816
1953-05-01,19.244696969696946
1953-06-01,2.6992424242424704
1953-07-01,-3.9371212121212125
1953-08-01,2.1537878787878526
1953-09-01,1.153787878787881
1953-10-01,4.790151515151479
1953-11-01,-1.3007575757575296
1953-12-01,-4.118939393939343
1954-01-01,-7.999999999999773
1954-02-01,-23.909090909090935
1954-03-01,-7.909090909090878
1954-04-01,-7.818181818181813
1954-05-01,-3.636363636363683
1954-06-01,-6.181818181818187
1954-07-01,-0.8181818181818699
1954-08-01,-8.727272727272748
1954-09-01,-6.727272727272748
1954-10-01,-5.09090909090915
1954-11-01,-2.181818181818187
1954-12-01,-4.0
1955-01-01,2.1189393939395984
1955-02-01,-4.790151515151564
1955-03-01,-6.7901515151515355
1955-04-01,2.300757575757558
1955-05-01,1.4825757575756882
1955-06-01,6.937121212121156
1955-07-01,15.30075757575753
1955-08-01,3.3916666666665947
1955-09-01,8.391666666666652
1955-10-01,8.02803030303022
1955-11-01,3.9371212121211556
1955-12-01,13.118939393939343
1956-01-01,10.23787878787897
1956-02-01,7.328787878787807
1956-03-01,5.328787878787807
1956-04-01,9.419696969696929
1956-05-01,11.60151515151506
1956-06-01,20.056060606060555
1956-07-01,18.419696969696872
1956-08-01,12.510606060605937
1956-09-01,11.510606060605994
1956-10-01,6.146969696969563
1956-11-01,7.056060606060555
1956-12-01,7.237878787878742
1957-01-01,7.356818181818312
1957-02-01,-1.5522727272727934
1957-03-01,5.447727272727207
1957-04-01,6.538636363636272
1957-05-01,9.720454545454402
1957-06-01,21.174999999999955
1957-07-01,19.53863636363627
1957-08-01,19.62954545454528
1957-09-01,14.629545454545337
1957-10-01,8.265909090908963
1957-11-01,6.174999999999898
1957-12-01,1.3568181818180847
1958-01-01,-2.5242424242422885
1958-02-01,-16.43333333333345
1958-03-01,-18.43333333333345
1958-04-01,-21.34242424242433
1958-05-01,-13.160606060606256
1958-06-01,0.29393939393929713
1958-07-01,4.657575757575614
1958-08-01,11.74848484848468
1958-09-01,-13.251515151515264
1958-10-01,-11.615151515151695
1958-11-01,-17.706060606060703
1958-12-01,-25.524242424242573
1959-01-01,-17.405303030302946
1959-02-01,-27.314393939394108
1959-03-01,-19.314393939394108
1959-04-01,-18.223484848484986
1959-05-01,-5.041666666666856
1959-06-01,-6.58712121212136
1959-07-01,4.776515151515014
1959-08-01,8.867424242424022
1959-09-01,-7.132575757575921
1959-10-01,-9.496212121212295
1959-11-01,-8.58712121212136
1959-12-01,-9.405303030303173
